ID,Domain,Difficulty_Level,Question,Reference_Answer
1281,Core CS & OS,Easy,Interview Question: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
1282,Data Structures & Algorithms,Hard,How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1283,Data Structures & Algorithms,Hard,How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1284,Behavioral,Medium,Could you explain this: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1285,Behavioral,Medium,Please answer the following: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1286,Data Structures & Algorithms,Medium,Could you explain this: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1287,Data Structures & Algorithms,Easy,"Candidate prompt: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1288,Core CS & OS,Easy,Please answer the following: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
1289,Data Structures & Algorithms,Medium,Define and explain: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1290,Data Structures & Algorithms,Medium,Interview Question: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1291,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1292,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1293,Data Structures & Algorithms,Hard,Please answer the following: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1294,Behavioral,Medium,Candidate prompt: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1295,Data Structures & Algorithms,Medium,Define and explain: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1296,Data Structures & Algorithms,Medium,Interview Question: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1297,AI/ML,Easy,What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1298,AI/ML,Easy,What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1299,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1300,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1301,AI/ML,Medium,Please answer the following: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
1302,Data Structures & Algorithms,Medium,Please answer the following: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1303,Data Structures & Algorithms,Easy,"Could you explain this: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1304,Core CS & OS,Medium,Interview Question: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1305,AI/ML,Hard,Please answer the following: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1306,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1307,Core CS & OS,Medium,Define and explain: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1308,Data Structures & Algorithms,Medium,Please answer the following: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1309,Behavioral,Medium,Interview Question: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1310,Data Structures & Algorithms,Medium,What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1311,Data Structures & Algorithms,Easy,"Interview Question: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1312,AI/ML,Medium,Candidate prompt: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1313,Behavioral,Medium,How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1314,Data Structures & Algorithms,Easy,"Candidate prompt: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1315,Behavioral,Medium,Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1316,AI/ML,Hard,Define and explain: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1317,Behavioral,Medium,Could you explain this: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1318,Data Structures & Algorithms,Medium,What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1319,Behavioral,Medium,How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1320,Data Structures & Algorithms,Hard,How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1321,Behavioral,Medium,Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1322,Behavioral,Medium,Interview Question: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1323,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1324,AI/ML,Medium,Could you explain this: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1325,AI/ML,Easy,Please answer the following: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1326,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1327,AI/ML,Medium,How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1328,Data Structures & Algorithms,Hard,Please answer the following: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1329,Data Structures & Algorithms,Hard,Interview Question: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1330,Data Structures & Algorithms,Medium,Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1331,Data Structures & Algorithms,Medium,Candidate prompt: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1332,AI/ML,Medium,Please answer the following: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1333,Data Structures & Algorithms,Easy,"Please answer the following: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1334,AI/ML,Medium,Please answer the following: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1335,AI/ML,Medium,Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1336,Behavioral,Medium,Please answer the following: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1337,Core CS & OS,Medium,Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1338,Core CS & OS,Medium,Candidate prompt: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1339,Behavioral,Medium,Could you explain this: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1340,AI/ML,Medium,Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1341,Core CS & OS,Medium,Please answer the following: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1342,Core CS & OS,Hard,"Could you explain this: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1343,Data Structures & Algorithms,Easy,"Interview Question: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1344,Core CS & OS,Hard,"Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1345,Data Structures & Algorithms,Hard,Could you explain this: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1346,Data Structures & Algorithms,Hard,Candidate prompt: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1347,Behavioral,Medium,How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1348,AI/ML,Easy,Please answer the following: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1349,Data Structures & Algorithms,Easy,"Please answer the following: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1350,AI/ML,Easy,What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1351,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1352,Core CS & OS,Medium,Please answer the following: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1353,Data Structures & Algorithms,Medium,Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1354,AI/ML,Medium,Interview Question: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
1355,AI/ML,Medium,Please answer the following: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1356,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1357,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1358,Data Structures & Algorithms,Medium,Interview Question: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1359,Data Structures & Algorithms,Medium,What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1360,AI/ML,Easy,Could you explain this: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1361,Data Structures & Algorithms,Medium,Could you explain this: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1362,AI/ML,Medium,Could you explain this: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1363,AI/ML,Medium,Candidate prompt: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1364,Core CS & OS,Easy,Define and explain: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
1365,Data Structures & Algorithms,Medium,What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1366,AI/ML,Medium,Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1367,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1368,Core CS & OS,Medium,Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1369,Data Structures & Algorithms,Hard,Interview Question: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1370,Data Structures & Algorithms,Medium,Could you explain this: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1371,Core CS & OS,Easy,Candidate prompt: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
1372,Data Structures & Algorithms,Medium,Please answer the following: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1373,Data Structures & Algorithms,Medium,Could you explain this: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1374,Core CS & OS,Medium,Candidate prompt: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1375,AI/ML,Medium,Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1376,Behavioral,Medium,Define and explain: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1377,Behavioral,Medium,Interview Question: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1378,Behavioral,Medium,Define and explain: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1379,Core CS & OS,Hard,"Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1380,Data Structures & Algorithms,Easy,"Interview Question: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1381,Core CS & OS,Easy,Please answer the following: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
1382,Core CS & OS,Hard,"Interview Question: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1383,Data Structures & Algorithms,Medium,Please answer the following: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1384,Core CS & OS,Medium,Could you explain this: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1385,AI/ML,Medium,How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1386,Data Structures & Algorithms,Medium,Define and explain: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1387,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1388,AI/ML,Medium,Please answer the following: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1389,Core CS & OS,Medium,Please answer the following: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1390,Data Structures & Algorithms,Medium,Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1391,AI/ML,Medium,Could you explain this: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
1392,AI/ML,Medium,Candidate prompt: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1393,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1394,Core CS & OS,Medium,Please answer the following: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1395,AI/ML,Medium,Could you explain this: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1396,AI/ML,Easy,Candidate prompt: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1397,Core CS & OS,Medium,Interview Question: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1398,AI/ML,Easy,What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1399,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1400,Core CS & OS,Hard,"Interview Question: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1401,Behavioral,Medium,Define and explain: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1402,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1403,Data Structures & Algorithms,Hard,Could you explain this: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1404,Behavioral,Medium,Please answer the following: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1405,Core CS & OS,Hard,"Please answer the following: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1406,Core CS & OS,Medium,Candidate prompt: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1407,AI/ML,Medium,Define and explain: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1408,Behavioral,Medium,Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1409,Data Structures & Algorithms,Hard,How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1410,Behavioral,Medium,Candidate prompt: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1411,AI/ML,Medium,Candidate prompt: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1412,Data Structures & Algorithms,Hard,Define and explain: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1413,Data Structures & Algorithms,Medium,Candidate prompt: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1414,Behavioral,Medium,Interview Question: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1415,Behavioral,Medium,Define and explain: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1416,Behavioral,Medium,Define and explain: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1417,Behavioral,Medium,How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1418,AI/ML,Easy,Could you explain this: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
1419,Data Structures & Algorithms,Medium,Please answer the following: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1420,Behavioral,Medium,Please answer the following: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1421,Behavioral,Medium,Candidate prompt: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
1422,AI/ML,Medium,Could you explain this: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1423,Core CS & OS,Hard,"Please answer the following: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1424,AI/ML,Medium,Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
1425,Core CS & OS,Hard,"Could you explain this: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1426,Data Structures & Algorithms,Medium,Interview Question: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1427,Data Structures & Algorithms,Medium,Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1428,Data Structures & Algorithms,Medium,Define and explain: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1429,Behavioral,Medium,Candidate prompt: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
1430,Core CS & OS,Medium,Define and explain: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1431,Data Structures & Algorithms,Easy,"In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
1432,Core CS & OS,Medium,Interview Question: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1433,Data Structures & Algorithms,Medium,Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
1434,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1435,Data Structures & Algorithms,Hard,Interview Question: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
1436,Behavioral,Medium,Please answer the following: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
